NGRAM_SIZE = 6
EMBEDDING_DIM = 10
BATCH_SIZE = 64
INITIAL_LEARNING_RATE = 0.1

Start Training
| epoch 1 | 200/ 10244 batches | lr 0.1000 | ms/batch 2.19 | loss 10.63 | ppl 43091.37
| epoch 1 | 400/ 10244 batches | lr 0.1000 | ms/batch 2.10 | loss 10.31 | ppl 31248.50
| epoch 1 | 600/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 10.14 | ppl 26276.74
| epoch 1 | 800/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.98 | ppl 22621.13
| epoch 1 | 1000/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.88 | ppl 20429.69
| epoch 1 | 1200/ 10244 batches | lr 0.1000 | ms/batch 2.03 | loss 9.79 | ppl 18733.42
| epoch 1 | 1400/ 10244 batches | lr 0.1000 | ms/batch 2.05 | loss 9.69 | ppl 16897.98
| epoch 1 | 1600/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.59 | ppl 15586.08
| epoch 1 | 1800/ 10244 batches | lr 0.1000 | ms/batch 2.06 | loss 9.50 | ppl 14022.23
| epoch 1 | 2000/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.45 | ppl 13596.24
| epoch 1 | 2200/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.38 | ppl 12487.71
| epoch 1 | 2400/ 10244 batches | lr 0.1000 | ms/batch 2.03 | loss 9.32 | ppl 11873.90
| epoch 1 | 2600/ 10244 batches | lr 0.1000 | ms/batch 2.07 | loss 9.32 | ppl 11906.32
| epoch 1 | 2800/ 10244 batches | lr 0.1000 | ms/batch 2.09 | loss 9.30 | ppl 11672.20
| epoch 1 | 3000/ 10244 batches | lr 0.1000 | ms/batch 2.09 | loss 9.22 | ppl 10700.12
| epoch 1 | 3200/ 10244 batches | lr 0.1000 | ms/batch 2.07 | loss 9.16 | ppl 10062.33
| epoch 1 | 3400/ 10244 batches | lr 0.1000 | ms/batch 2.06 | loss 9.23 | ppl 10834.70
| epoch 1 | 3600/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.17 | ppl 10173.68
| epoch 1 | 3800/ 10244 batches | lr 0.1000 | ms/batch 2.05 | loss 9.22 | ppl 10799.31
| epoch 1 | 4000/ 10244 batches | lr 0.1000 | ms/batch 2.04 | loss 9.16 | ppl 10214.71
| epoch 1 | 4200/ 10244 batches | lr 0.1000 | ms/batch 2.07 | loss 9.18 | ppl 10438.02
| epoch 1 | 4400/ 10244 batches | lr 0.1000 | ms/batch 2.03 | loss 9.07 | ppl 9248.22
| epoch 1 | 4600/ 10244 batches | lr 0.1000 | ms/batch 2.07 | loss 9.07 | ppl 9301.23
| epoch 1 | 4800/ 10244 batches | lr 0.1000 | ms/batch 2.03 | loss 9.06 | ppl 9263.46
